Attrition,Business_Travel,CF_age_band,CF_attrition_label,Department,Education_Field,emp_no,Employee_Number,Gender,Job_Role,Marital_Status,Over_Time,Over18,Training_Times_Last_Year,Age,CF_current_Employee,Daily_Rate,Distance_From_Home,Education,Employee_Count,Environment_Satisfaction,Hourly_Rate,Job_Involvement,Job_Level,Job_Satisfaction,Monthly_Income,Monthly_Rate,Num_Companies_Worked,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Standard_Hours,Stock_Option_Level,Total_Working_Years,Work_Life_Balance,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager
Yes,Travel_Rarely,35 - 44,Ex-Employees,Sales,Life Sciences,STAFF-1,1,Female,Sales Executive,Single,Yes,Y,0,41,0,1102,1,Associates Degree,1,2,94,3,2,4,5993.00,19479.00,8,11,3,1,80,0,8,1,6,4,0,5
No,Travel_Frequently,45 - 54,Current Employees,R&D,Life Sciences,STAFF-2,2,Male,Research Scientist,Married,No,Y,3,49,1,279,8,High School,1,3,61,2,2,2,5130.00,24907.00,1,23,4,4,80,1,10,3,10,7,1,7
Yes,Travel_Rarely,35 - 44,Ex-Employees,R&D,Other,STAFF-4,4,Male,Laboratory Technician,Single,Yes,Y,3,37,0,1373,2,Associates Degree,1,4,92,2,1,3,2090.00,2396.00,6,15,3,2,80,0,7,3,0,0,0,0
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-5,5,Female,Research Scientist,Married,Yes,Y,3,33,1,1392,3,Master's Degree,1,4,56,3,1,3,2909.00,23159.00,1,11,3,3,80,0,8,3,8,7,3,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-7,7,Male,Laboratory Technician,Married,No,Y,3,27,1,591,2,High School,1,1,40,3,1,2,3468.00,16632.00,9,12,3,4,80,1,6,3,2,2,2,2
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-8,8,Male,Laboratory Technician,Single,No,Y,2,32,1,1005,2,Associates Degree,1,4,79,3,1,4,3068.00,11864.00,0,13,3,3,80,0,8,2,7,7,3,6
No,Travel_Rarely,Over 55,Current Employees,R&D,Medical,STAFF-10,10,Female,Laboratory Technician,Married,Yes,Y,3,59,1,1324,3,Bachelor's Degree,1,3,81,4,1,1,2670.00,9964.00,4,20,4,1,80,3,12,2,1,0,0,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-11,11,Male,Laboratory Technician,Divorced,No,Y,2,30,1,1358,24,High School,1,4,67,3,1,3,2693.00,13335.00,1,22,4,2,80,1,1,3,1,0,0,0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-12,12,Male,Manufacturing Director,Single,No,Y,2,38,1,216,23,Bachelor's Degree,1,4,44,2,3,3,9526.00,8787.00,0,21,4,2,80,0,10,3,9,7,1,8
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-13,13,Male,Healthcare Representative,Married,No,Y,3,36,1,1299,27,Bachelor's Degree,1,3,94,3,2,3,5237.00,16577.00,6,13,3,2,80,2,17,2,7,7,7,7
